Id,References
1906613, 1060796 250333 1139782 1776825 1164025 1340701 396745 1632838 1006223 271182
1906618, 591075 1960167 328490 1981069 726163 1290348 1285813 191404 1800295 891517
1906647, 581499 690607 1146560 1029973 431238 67933 1841132 1549513 149116 1724731
1906651, 839402 246347 1744311 210975 955862 961410 441374 1894202 1094196 1520169
1906652, 477479 1891072 729094 1880282 1215928 907504 1848368 75109 310743 1355964
1907691, 746417 1845697 1176797 1251923 391491 675741 1356515 763523 994815 739322
1907695, 1394924 346647 1189207 619158 1517669 926924 1398738 152203 669226 1903098
1907696, 1855615 1725523 1310974 486908 1394029 983085 1530387 1310050 387196 911091
1907703, 932455 99197 1336013 1403838 792298 759145 63474 1571766 1377714 159268
1911449, 811061 1509501 368830 1522914 1588047 867037 1054234 1617098 1196157 471363
1911450, 129553 665441 801290 1997494 1772858 1446296 277204 1522805 1906109 1076686
1911455, 199175 673934 1661724 1571403 605539 1685612 978307 1389876 179946 293711
1911471, 475869 1171470 1100503 792244 465865 93702 1362846 36656 1415802 1061433
1911481, 569987 503141 1007349 370651 1465891 439307 1861914 258280 666407 7278
1911482, 169482 744370 1240396 203825 823632 1182949 607747 87379 640578 2016358
1911499, 817232 517647 1452801 41571 68480 1401285 341707 536113 266692 1213652
1911500, 350044 1761047 1132458 848261 235530 1321274 1118225 1812145 1251842 768561
1911506, 968992 1944377 1517925 1228881 889393 905710 821029 1270528 1713670 1401625
1911524, 1612116 1438494 1205670 1856610 411118 765586 826502 1022323 1797256 143067
1911536, 1105003 1778783 1192803 1298241 613384 1940502 1374172 1670132 1893514 1663299
1911544, 1907751 257558 1575470 1766990 894345 1699467 1559235 1025166 1939535 1401049
1911554, 215663 244625 461513 198629 162232 948496 376863 1303125 1649612 266792
1911562, 1130808 628883 957896 1822005 371382 1110833 666900 1394602 708428 23370
1911571, 870104 1760721 1695423 677786 127177 1897049 1323017 1479164 897573 1916783
1911593, 1887771 230664 287804 1373894 1701032 1713127 1650207 1226158 2016511 1017642
1911605, 1686594 736621 962270 960525 660079 68101 974090 124350 438359 925694
1911637, 1525564 804899 461215 408305 787870 1171794 1143488 203781 569149 1140874
1911642, 846313 1419699 260292 1329125 592732 683347 500531 1759124 1541135 38292
1911643, 708537 394287 1430802 1026476 1035427 1145452 1466766 1366298 1703738 1290721
1911645, 545239 1776787 163129 1507502 804226 307635 43119 608776 1009798 1646049
1911659, 673930 1235330 666450 1601736 449965 1878197 1860882 1145882 1317723 1625097
1911675, 1793204 713568 941324 830052 539676 1560032 820949 956809 402735 1343082
1911676, 708402 638476 1156386 604790 1194875 818885 1599439 1204392 1625286 273159
1911685, 1144006 717282 1780793 942769 493963 1109659 674799 894917 1219643 396624
1911687, 109202 413154 1408882 1005162 1579471 1941129 368471 935378 319392 1885694
1911692, 1806171 736245 1856936 183589 1900868 485214 1378518 1035915 1122448 1624973
1911695, 1583346 1619934 710785 72415 389376 1490777 346974 519509 854806 1415808
1911705, 921011 14609 1508340 1137443 117697 481341 17863 1208068 811375 526044
1911708, 1739455 538115 414138 384597 1800533 811792 605878 33150 1897764 1888852
1911714, 378162 497122 624229 1499293 1355501 803267 1633640 659438 240191 1441251
1911718, 508333 225906 1009398 1551463 1341002 815212 1873506 480419 876579 412764
1912951, 246944 849639 293816 635267 1384068 1333465 1505923 154398 107192 1819794
1912956, 1404403 1663582 1865886 106435 760326 1476879 198361 1444616 412480 383174
1912960, 1688283 539331 144540 442949 1589122 1362301 1121434 1314212 47521 970334
1916981, 557819 1330645 437844 574079 1527685 1899949 1338907 116058 1106612 1903000
1916982, 115051 1043950 1309744 676862 1610192 485642 143450 851957 1908197 1303422
1916985, 364774 233086 698384 1114046 686407 1640218 564720 968851 967647 1777166
1918461, 1306345 2016362 1863361 1658496 1630242 894943 112343 369055 1403036 649438
1918467, 585246 269160 677580 554981 526966 1411569 434810 2075610 543716 1351169
1918471, 1293788 1692530 136316 1199237 677507 401070 1015539 1119126 1702700 1551638
1918473, 835828 1149570 24320 279670 52995 130656 224896 1464635 1609069 1371410
1918495, 107212 960319 1373659 1435435 96306 1543747 620628 1241853 960795 1131487
1918499, 743404 1581792 1236589 218330 1411993 44244 34398 1710225 1194248 211534
1918597, 767444 184172 650701 1587182 153079 1607387 1369385 1177653 1625883 1149794
1918600, 1250814 623675 1671760 540421 385001 262232 1101364 262356 1417581 343318
1918602, 823525 1531170 1233845 269093 1578938 627993 1151160 1555104 926131 1511008
1918608, 504233 816350 845146 390 1087007 1353133 499623 1598909 1215117 1167641
1918615, 1369012 1723718 1617744 1664592 329786 859511 798786 1424215 684001 1449382
1918617, 1438982 456968 1761942 936634 1856783 1229738 1648688 89658 180244 1848706
1918738, 1740580 749665 1227903 1465532 1779175 1776683 721080 147233 61675 194110
1918741, 91190 1903841 167448 1826633 1050497 1314597 1773179 324291 1247093 1470038
1918742, 1965390 1039603 473712 138095 52315 1187512 158806 1742814 470803 1995646
1918749, 1837005 804052 1629307 658149 255681 1569823 1709345 1752863 1683839 440345
1918759, 1440537 987042 1522264 1460814 1450378 1935022 1696995 1642917 1655278 910112
1918761, 1515193 1749211 393977 1014629 1409015 329260 947105 342542 1906114 1433268
1918762, 897510 1224424 132210 886061 631788 1625402 419809 1321331 1851152 1318307
1918777, 522222 585192 25061 514326 375392 1430176 1046642 169090 820387 1033025
1918837, 281773 726236 501859 1606403 1519780 1086652 355958 1209539 1029143 340611
1918843, 408742 1722426 817425 1863617 280084 1118577 1566294 1590074 926830 352213
1918851, 1669926 1409255 1556046 1947599 1419428 1588544 485989 1627956 1850494 105801
1918861, 1455889 1325952 231112 1119317 446653 1333586 1073229 1613645 534287 1931485
1918863, 1890507 914935 1573578 1206269 1033957 549965 438672 1335935 551203 1896016
1918884, 305634 1621259 1282333 1884061 228804 446494 1156466 563014 1593154 1005371
1918902, 1937515 281100 1017247 1630711 1924817 385616 648037 1809152 966767 614532
1918904, 835186 723649 1211588 439092 1262616 24001 973698 320472 1301379 1201169
1918921, 526693 1726012 624353 28763 1955593 1880938 956943 1656727 961047 1691212
1918926, 1720327 200488 1723785 1763717 1862390 1378071 1358606 1096778 817510 632513
1918961, 628020 1722048 1987309 912911 986464 1706713 713432 784721 1152082 1909256
1918966, 236666 1705765 1762131 1082994 1759433 580592 1341628 616150 982114 1660133
1918968, 1280940 1532563 1617470 1908008 1640367 82702 1003880 1197933 583748 1078483
1918970, 1520619 213840 1742096 1383991 796470 1270433 628103 1574962 252106 1332047
1918973, 402758 43694 1020525 1573956 38539 96035 1043982 895721 867363 1382431
1918977, 690570 643638 1844414 731020 380592 1946673 1780001 1289146 1643541 388824
1918978, 236321 1381171 1937511 507417 1160836 1427202 1561048 1938318 1476652 1612476
1918979, 1756389 1803724 1159880 970803 65819 1603449 1455180 344688 112722 861550
1918993, 611844 724784 1875957 1654338 389441 1347133 584588 1193019 1362521 49118
1918997, 701464 361816 1698129 625083 1394648 40701 1703694 1647876 1093062 1109079
1919221, 1753325 216197 1389270 827563 609010 60826 14033 1425605 814065 1150220
1919238, 1410337 1444077 526877 1319585 771214 61221 1384680 738983 1456636 728801
1919277, 613497 761707 748623 1380874 944023 1831485 1685525 909888 54778 1917780
1919279, 975806 96992 960802 113579 1915405 1725541 1632313 485992 942892 1404920
1919282, 1212292 565540 1416005 4480 73356 322020 1090578 625136 1596239 1935755
1919287, 336728 218389 1043080 204713 1678081 825180 1295342 466319 395290 701801
1919300, 783836 1076279 736258 9999 1712110 1754945 1575991 1948029 810105 865614
1919317, 1331909 155440 1927132 1878606 1963191 707517 1238130 785809 1228152 1634933
1919325, 1215750 398700 1785237 903655 1812848 686447 115511 1005823 405265 376892
1919341, 304366 320320 877641 751570 1874668 1837737 921542 576105 388307 1541177
1919342, 906949 311369 335808 668761 1238367 1186972 539788 1079229 1770869 580187
1919345, 1456575 768579 1247997 1748255 268827 1097574 756570 452547 380034 1395690
1919355, 269005 1765175 28887 1328109 1430786 886470 749816 1578989 1667864 1451818
1919369, 64498 1886701 716450 1241801 1313064 2017358 1538056 1284002 1016055 1890985
1919384, 26530 869102 752848 1311424 2018385 255729 1338041 1828474 1297123 1116039
1919389, 536090 342245 1073160 357295 493525 1555297 1019866 1790813 1305145 898169
1919425, 825171 903105 780687 1394812 540173 325668 1476865 1331214 978771 562477
1919427, 1906042 1410929 491055 440660 1870034 1716783 46108 641279 475166 376715
1919443, 954110 1161581 469203 1308552 1222762 504406 627370 1394547 580132 1036811
1919497, 1631020 1655482 693981 590570 1894815 1644470 1212916 472041 676617 489548
1919499, 95375 64615 1611597 680163 773043 26821 1303019 963044 674894 392086
1919556, 289505 1895502 494811 1551347 476713 256322 1773889 711543 1113642 1624078
1919557, 1117912 1500442 550420 1521454 1789207 1386839 6341 686090 718756 1316657
1919563, 906405 484656 1524392 573971 61354 488689 1803227 950633 461916 932431
1919570, 731662 825101 1020597 584874 1110614 1330013 230869 549908 1919796 927798
1919576, 1589071 1717092 1526435 1384965 1559665 1477748 1677924 1665198 472985 1921025
1919591, 1696879 1391450 1022571 1507061 695477 1536558 367691 1725982 558704 1125960
1919594, 645505 209316 1852596 847025 552391 1089521 424486 909120 1563019 1534828
1920302, 58599 971395 459265 1467138 1283224 1249769 1763997 151124 1371214 1875403
1920308, 1096448 1125763 235946 1428741 1573780 505886 1544478 9238 724753 20590
1920438, 150818 226421 149784 1839490 608961 703680 731770 354146 57009 351932
1920460, 1058609 1239855 1963989 739074 1229785 776894 490443 458610 625125 926621
1920469, 290261 19702 503102 1191007 1492070 73172 479337 1174960 1930761 489719
1920538, 538787 1018321 1652121 329473 1823776 728259 1292612 1374928 1242593 1882501
1920541, 2019826 471856 78774 348752 943003 615349 1095106 969530 1440831 12656
1920565, 1150577 326021 945049 185674 266531 1429079 1288789 1176645 234283 533461
1920606, 184813 285751 144815 1810677 1699267 536223 287564 1982433 893110 55265
1920619, 1483239 277649 1297094 490850 767889 681040 827057 975645 1089 930404
1920633, 563813 1079669 1575450 1059157 1689231 935664 766980 1326306 814945 1367045
1920638, 259644 1198418 1803159 107592 1605702 1616202 147497 882985 1696054 53444
1920651, 1073267 1188420 350368 1526402 53004 1560671 194026 1807821 1005565 651602
1920652, 552769 1723022 680078 997871 724427 1435341 878586 1236953 518736 984243
1920653, 177298 604026 1109358 1792729 1449455 1124734 1011881 80657 1397827 622264
1920659, 719313 1082099 656039 1337490 94239 1419261 923395 32591 1382399 2016222
1920661, 867660 1568395 117861 1910495 487525 1912004 647468 1789005 1228970 242835
1920665, 318093 1536462 1073950 1980845 561164 1339679 772499 636119 2018109 649838
1920671, 400931 356966 688269 704086 355655 731948 1353875 866559 903964 361035
1920676, 1147437 98745 1262078 534370 823860 1198700 1326898 374852 243717 787901
1920991, 632821 1862759 934269 580269 588320 1152004 113104 1076191 1858657 103616
1921410, 1491785 1982477 1374021 1234177 1369145 1664072 1894919 221443 265045 537390
1921414, 1209158 1257238 926474 524774 483628 244150 311218 372100 1632270 794170
1921416, 1908587 803890 451819 174715 194271 634332 439170 725987 195740 272118
1921432, 1710235 1064876 187435 1749370 1137384 353468 53537 223176 207085 515600
1921434, 1978791 247127 1880805 551705 259414 798281 801437 1755978 1678874 291933
1921436, 450700 1331909 4919 588780 168523 1897248 432158 1724580 871022 1054846
1921441, 455301 1602306 357641 747955 107766 1160405 791802 1561425 1526238 764801
1921445, 1306489 830506 1907764 267779 730186 575515 634203 491346 785770 1775598
1921450, 257760 805359 1246654 821508 106979 216938 1433626 594668 1512301 1098891
1921464, 1656076 1090215 1084205 803 20965 529384 1592352 739390 105256 1488527
1921480, 855583 14135 1151549 1274316 166043 367825 1489812 1904485 290652 1822062
1921501, 1498374 591855 1151343 230232 168382 1116628 487330 249457 404375 1653135
1921506, 738708 1922753 1262104 41369 401163 569891 327817 663281 1682724 356477
1921517, 212885 202574 1192230 112311 1605924 1319720 630023 786687 1743114 1493138
1921531, 1017991 1110033 803139 460610 1832485 17602 1237735 196608 476519 37022
1921535, 1041063 632589 977091 130470 1092102 1319238 1650487 1845477 648384 1052245
1921540, 1778695 591153 1303919 1592120 161537 1432166 1664305 1818925 688359 288769
1921545, 1859937 1874029 1309600 1620865 1395364 1662273 74117 203442 394412 468484
1921546, 1073470 1389623 255918 1305188 1524609 1589617 1678055 292193 432719 1195778
1921551, 647620 502323 1675223 96201 1613515 6596 524703 179641 1314617 704926
1921552, 590588 1306704 249163 1160571 930397 336676 1911736 985016 90671 1180242
1921560, 749895 1589427 1009036 1933522 671801 1434568 1888009 1198202 1441052 1917682
1921562, 1391247 1383816 677889 1291824 1677179 267609 785951 1268912 1059175 1709682
1921564, 104455 1427160 1941646 1121968 1248627 101684 930153 1806729 1345107 1764861
1921565, 531772 1724172 246874 1375727 1776114 717798 725366 213489 315418 770963
1921568, 168080 257054 405221 43044 88489 150169 1072591 583694 1802125 132288
1921569, 264566 1616556 944038 1467050 1279716 1186923 1410104 1120269 362588 1460976
1921577, 1898072 1183081 1465535 529864 266800 1310086 1376169 1156472 1927171 86080
1921582, 435106 1182881 1419511 739500 855107 136197 939583 1219485 946151 1600514
1921583, 1660487 1821487 1515767 553641 917857 359369 53348 866173 2085267 1087920
1921596, 862628 360613 1275630 875004 270705 674545 1349979 10504 1608675 735346
1921598, 1234164 1853497 1264720 1771167 1377840 1854465 743459 197267 798824 1325153
1921600, 129964 1836446 30956 1886028 1514177 506331 1590771 1720393 1149999 880996
1921604, 1813630 545877 1369304 14179 321926 565156 992200 1744638 350769 1835663
1921606, 1094974 1020071 493987 1332030 290010 856426 1266300 1586843 1876506 767023
1921608, 1817214 1912762 164373 33667 840308 1884839 1702236 219095 1198520 9946
1921614, 1808833 1291408 764866 68114 1814113 1713494 1661565 755845 632176 1633246
1921615, 1467748 1877819 361854 1574254 73533 704701 1557950 834632 991505 1464926
1921617, 1031202 579760 197523 786926 749095 640531 431037 1286633 1660610 1185939
1921639, 783945 628707 720996 1412865 1809413 1729113 1764260 1527255 1620408 1304636
1921640, 1292212 814758 1414785 1773877 541125 112473 1748419 1507831 33093 649116
1921641, 164435 1179301 755548 729742 1942241 1339600 1408748 603265 445744 736296
1921647, 367153 771585 190211 280423 1866503 198573 478147 752051 1738925 501407
1921650, 1454969 872787 1691740 1203722 176726 1055470 1935828 1614327 544443 479559
1921653, 1065219 1573746 1854341 870228 383298 1726784 1073510 551809 369576 1085343
1921661, 1701609 160905 1688026 223677 911601 461748 295015 295619 96583 597084
1921670, 1432848 756122 1260368 1664022 1790332 1963830 1343508 627463 1088748 1383878
1921678, 847713 1972333 1271896 451366 1031423 1115169 1820499 1267838 56823 734055
1921682, 1103946 1835234 1813178 954577 1804509 1030412 543895 226189 717021 798429
1921696, 1565414 1134144 597798 1486967 1762407 1087039 608661 1381802 987920 1129547
1921700, 1477192 266682 1009900 1983958 795553 1845013 1411423 88637 586316 1537954
1921701, 1462330 841698 362430 466525 919790 555530 1714951 332067 407725 61927
1921703, 1489446 1006218 1948306 689592 1495277 19787 173683 967363 1290750 1275919
1921706, 1482574 1935415 182410 1811245 1718048 481505 1163813 19014 105624 1507794
1921709, 229669 116427 1389554 969357 128804 993984 1471974 1085585 840840 1838363
1921744, 1620414 579505 1837343 664144 1037639 129461 727273 898764 647103 572104
1921756, 376060 914274 601296 1766897 898969 1445841 297057 1620540 1506460 1368486
1921759, 1903863 41516 1684432 1502949 1897467 589464 160832 1824258 515001 1813548
1921760, 1219243 121940 1917511 774034 1481951 1369176 1500549 1787807 466625 223097
1921769, 488724 773639 1571840 910287 301922 1271143 74286 1568794 1312929 643362
1921776, 47459 1482267 913895 342943 661459 914361 1890101 1052348 896062 1693626
1921778, 1283413 127633 1892397 914959 70609 1361048 670643 1257384 693025 1054031
1921782, 1721506 1909199 207692 660649 2085012 91296 1914793 891293 1649261 1137965
1921795, 1687984 867444 418136 1417857 1672990 1143408 1017898 319271 1009242 652092
1921805, 302343 995105 1450051 1588796 1539913 652106 1506023 630862 313957 1280899
1921814, 1895214 857313 777264 1650783 252324 389719 1980343 970944 1726393 1228816
1921815, 1980431 44473 227043 1738202 265137 642643 1860948 425395 968252 801499
1921830, 537172 647679 950226 1845308 396480 1100188 1630951 1801882 422481 1621671
1921833, 1114562 1523178 1583813 1276134 1399052 1006603 1908950 1556492 95848 284945
1921834, 485737 651824 1190970 675073 272918 254686 1518924 106105 1695680 566839
1921835, 1557563 1273969 471129 987243 729749 430446 707004 1682783 1523881 976661
1921837, 309624 1315143 44893 1306948 1116364 272832 1565331 1454568 1164678 1830123
1921845, 263278 1514646 1284213 1596410 475844 1283771 803962 405546 961354 917831
1921856, 1788244 80711 492193 1268619 598857 899488 229426 386771 655492 273370
1921873, 1430533 1799791 1518752 287552 243617 1858234 1000695 1464974 359826 975686
1921877, 671661 894800 1243137 1707521 975696 1722834 1321564 414254 1786698 1184479
1921882, 1097430 1507645 1117972 839003 202167 637587 960108 1642306 1495878 1739173
1921885, 883145 1686759 1116408 336773 547394 312278 393375 487091 1362499 376520
1921888, 887360 1656335 1308385 1783427 1542362 364998 1865499 510100 1727495 1121804
1921898, 1428763 1403609 1679515 171738 1776725 1775218 1158892 1000118 805095 827560
1921904, 1008624 1391581 1542519 1236663 979263 191648 343026 435090 354923 724647
1921918, 1642784 457844 952679 746822 1259818 1180552 1204163 282522 1109018 1840721
1921920, 1884658 1844757 1219594 1580802 1434401 1129496 611540 740112 1741473 1885981
1921923, 1174641 1882363 349764 1038106 1195358 704605 1188504 354216 1158269 348835
1921935, 1773337 204160 35239 1432796 1640137 450521 1902004 188044 90464 65702
1921936, 176592 959712 716498 1173291 1666224 1229355 451391 1069062 668612 1151554
1921937, 1032113 185890 1924669 1715573 1294112 1827782 1117868 707294 1881979 1856584
1921958, 215375 1763594 1675120 318041 1873432 693558 1048748 1056147 1117971 234977
1921961, 1014469 135872 340494 1116942 769657 1627752 1013019 113212 785781 1982509
1921978, 513210 1692748 1104164 1425163 990138 1312793 476628 406919 1923222 710208
1921989, 1250927 1392666 646412 1204326 1842831 1653209 145888 1080876 914916 286875
1922004, 1529344 1141251 309835 133128 708577 1321691 1952913 1181424 821097 424641
1922014, 164984 1817534 819 1033044 1434169 1724058 807923 779044 1286508 1348780
1922021, 1324655 1299354 1292845 623597 895294 809657 905374 1579057 1910421 620252
1922035, 1483167 1617021 800924 1952468 1578658 998411 1577358 912138 513548 1019332
1922038, 802394 542708 793426 708227 1215774 743309 225950 141326 309873 1423565
1922042, 431116 1079701 1095245 571023 882171 1408782 433087 4590 829395 1827380
1922046, 1592875 563184 1892649 1926204 283061 1010570 927313 1255434 128583 1658077
1922049, 1390959 900373 365067 105504 1593866 1918613 282855 561086 1574437 1044950
1922075, 1653039 1342339 150559 1782719 1812119 1253861 1772202 991254 1207649 489635
1922082, 941904 1306292 1537687 1500368 1106147 1593451 76880 1589081 606923 1064335
1922083, 1138243 1181374 864439 1715314 932965 666844 1692247 950745 1881826 1382595
1922091, 499576 1735933 605769 849971 1465622 141784 377631 83175 815098 382067
1922105, 98621 400889 1191143 275842 240211 114246 172491 903675 73553 145147
1922107, 1361407 998326 1931464 1935040 161437 782737 1491630 1683813 772255 1497594
1922116, 1874383 12340 14513 1705881 52446 786108 137946 1112318 1335480 1583505
1922118, 1430637 1525136 1406032 19722 592431 1513703 1100643 1613436 1211932 1899202
1922121, 407151 782674 1304933 765207 1027810 96242 1941170 390555 735383 1871903
1922123, 1114586 1715115 1236392 334356 1459165 1552755 620583 41239 553787 2065533
1922132, 1552635 725691 1157497 1115936 1620955 330362 1263126 675234 1151641 179217
1922133, 1219478 1727515 455372 1457837 933663 1765251 1209282 277384 297291 1872737
1922136, 1662800 1309282 667312 782533 261650 1884670 907414 1680512 1684900 1109197
1922140, 1152696 879321 388898 1269226 490280 1388502 1607895 636457 737356 1952879
1922143, 1351981 1430612 1759304 87932 281452 894670 91051 748403 1437608 1799049
1922145, 705902 1889718 1839915 595291 23801 1359313 1561328 698163 548024 1287155
1922150, 1069968 1069223 1298031 303234 512536 48408 169725 1800478 886674 1862684
1922158, 862766 720887 754890 1865642 885377 1879641 1327 1312302 1004031 1983016
1922203, 1581467 719091 1638952 1662214 981093 641449 1856493 552049 567464 535170
1922208, 787137 327976 977922 81330 471843 13569 1231084 1009109 562403 747483
1922211, 368442 675829 1322563 1810449 670002 29876 80781 316689 789763 921897
1925664, 315139 398019 187379 1731282 1232315 361697 1366455 1212545 1541743 1025519
1925670, 1622459 1205528 1266807 422231 1379393 834909 1173225 1122496 434526 1675841
1925677, 1706827 1830707 349883 535971 1854990 1789330 48883 543578 889385 1093482
1925690, 1733963 1726998 2018451 1374372 1340986 1083979 392233 1746165 103267 1292716
1925695, 1448911 1182196 305290 429358 1267760 405711 1203099 1778490 568452 1432695
1925704, 1907279 1004532 227924 470554 1701443 1120549 754581 613974 211354 1613328
1925708, 19411 9926 201736 1399684 328807 299096 1501905 15004 2017377 1669272
1925712, 1396080 353579 1299042 2090861 583545 1530575 1305585 1005151 624701 1401639
1925719, 335316 167237 1569707 203835 1834009 126747 788138 1572390 800032 1297805
1925722, 247640 535278 1694118 1603588 196876 744714 1638345 836975 241149 1041501
1925723, 1317052 844531 1754027 1637210 857520 1094973 442729 372545 740352 1832112
1925742, 600433 1106506 442197 414207 1501894 1485766 1611936 114907 959896 50702
1925743, 48852 1775297 17946 877092 1945769 1433369 376569 262905 445164 233457
1925745, 186614 950091 599754 366296 278693 857948 529895 365460 725536 416257
1925748, 140919 823166 1016904 1596270 1552267 1070574 737465 614974 551105 1105235
1925756, 788400 1304502 1866160 1873609 505415 455263 1442216 1928659 1103640 393326
1925769, 1892729 1891555 508693 216663 1134344 607551 1345761 935674 917007 1862291
1925809, 278714 816919 1375855 1595680 1675 658844 1170393 1756694 808761 190439
1925821, 1136848 212034 547834 567191 1840765 1519186 804017 1824832 113783 1164821
1925824, 187166 820986 799007 820793 489457 549578 1196232 1730068 590154 559818
1925830, 1324476 1582292 1832309 1508698 757082 354868 1404323 978578 1960292 1488000
1925836, 1392969 1123190 850502 1334358 1939670 1858947 1745142 458800 1113378 464139
1925842, 1851842 1639675 1537662 1044702 1416783 505653 839120 98118 1601416 57318
1925876, 1000686 16652 269263 1933240 116126 973643 403166 1850796 651102 1779759
1925921, 1091242 702833 1243590 1885022 1569466 156780 605415 18499 1237862 1373915
1925932, 538660 108838 1916636 78230 1320346 1395396 83349 1814525 1347362 1410295
1925935, 1287031 362456 1809707 1733266 964750 1539099 731142 1177055 1772979 814856
1925940, 1975946 1256973 200754 859026 588628 878722 389068 1158453 1672098 1936013
1925941, 603602 226321 1489195 1100138 1822394 569983 579096 1933258 1437981 689808
1925942, 1284002 603371 1965503 257445 253749 1856973 1442681 59567 867885 1659671
1925943, 597268 120390 1088670 565125 314351 143489 1317007 462488 30114 289168
1925974, 206304 725819 1709591 1532316 23486 1192902 1926376 610352 1773030 1089997
1925975, 1047433 1276639 1926845 1024432 297464 436593 298576 1133096 176698 349357
1925978, 1461670 540530 390399 95845 384113 1643217 1130835 58991 885868 1649305
1925979, 1018527 411510 311031 1535935 551819 1097880 651764 971103 623396 735023
1925980, 471514 1555816 983817 376140 33578 1020921 1933492 1309391 595365 773700
1925981, 582156 1603882 1111317 462927 849298 402072 288943 556408 1366467 713209
1925983, 1953011 20156 1847121 1881342 136893 1632114 1100053 79283 766424 1918408
1925986, 940662 1964256 427537 113275 501217 617861 1435073 1152306 429398 797797
1925990, 153382 597205 1029926 7456 568108 69259 197149 586350 1305444 310814
1926001, 465434 1582423 500695 989777 1567063 710553 1472999 466209 1624393 19621
1926019, 902331 849905 1336071 134720 931273 728408 375001 429057 1966683 1525754
1926022, 454073 480651 1152189 1317964 796219 284786 276102 367110 1443414 23015
1926023, 973102 1051636 1634338 1413086 1719781 117966 1775395 625824 1321175 1657595
1926025, 375968 870009 949988 721017 609155 957448 79232 1079720 336762 1229554
1926033, 628950 1717863 1312020 1307760 540988 1259401 1457862 110255 1045492 1550581
1926049, 871680 631348 849369 799787 527010 279756 535954 230739 1964363 601896
1926823, 1316999 1891454 486065 1282137 1863603 55486 77865 885155 70051 454857
1926825, 454247 1246341 249615 127596 809134 1150410 1216763 128225 18307 1731654
1927999, 1654136 730173 1805055 173012 1568302 448375 1906292 809086 1139616 1941025
